"Geo Code","Geo Name","Line Number"
"2021S05078250076.36","8250076.36",1094498
"2021S05078250076.37","8250076.37",1097129
"2021S05078250076.38","8250076.38",1099760
"2021S05078250076.39","8250076.39",1102391
"2021S05078250077.01","8250077.01",1105022
"2021S05078250077.02","8250077.02",1107653
"2021S05078250077.03","8250077.03",1110284
"2021S05078250077.04","8250077.04",1112915
"2021S05078250077.06","8250077.06",1115546
"2021S05078250077.13","8250077.13",1118177
"2021S05078250077.14","8250077.14",1120808
"2021S05078250077.16","8250077.16",1123439
"2021S05078250077.17","8250077.17",1126070
"2021S05078250077.19","8250077.19",1128701
"2021S05078250077.20","8250077.20",1131332
"2021S05078250077.21","8250077.21",1133963
"2021S05078250077.22","8250077.22",1136594
"2021S05078250077.23","8250077.23",1139225
"2021S05078250077.24","8250077.24",1141856
"2021S05078250077.25","8250077.25",1144487
"2021S05078250077.26","8250077.26",1147118
"2021S05078250077.27","8250077.27",1149749
"2021S05078250077.28","8250077.28",1152380
"2021S05078250077.30","8250077.30",1155011
"2021S05078250077.31","8250077.31",1157642
"2021S05078250077.32","8250077.32",1160273
"2021S05078250077.33","8250077.33",1162904
"2021S05078250077.34","8250077.34",1165535
"2021S05078250077.35","8250077.35",1168166
"2021S05078250077.36","8250077.36",1170797
"2021S05078250077.37","8250077.37",1173428
"2021S05078250077.38","8250077.38",1176059
"2021S05078250077.39","8250077.39",1178690
"2021S05078250077.40","8250077.40",1181321
"2021S05078250077.41","8250077.41",1183952
"2021S05078250200.02","8250200.02",1186583
"2021S05078250200.03","8250200.03",1189214
"2021S05078250200.05","8250200.05",1191845
"2021S05078250200.06","8250200.06",1194476
"2021S05078250201.01","8250201.01",1197107
"2021S05078250201.02","8250201.02",1199738
"2021S05078250202.01","8250202.01",1202369
"2021S05078250202.02","8250202.02",1205000
"2021S05078250202.03","8250202.03",1207631
"2021S05078250202.04","8250202.04",1210262
"2021S05078250203.00","8250203.00",1212893
"2021S05078250204.01","8250204.01",1215524
"2021S05078250204.03","8250204.03",1218155
"2021S05078250204.06","8250204.06",1220786
"2021S05078250204.07","8250204.07",1223417
"2021S05078250204.08","8250204.08",1226048
"2021S05078250204.09","8250204.09",1228679
"2021S05078250204.10","8250204.10",1231310
"2021S05078250204.11","8250204.11",1233941
"2021S05078250204.12","8250204.12",1236572
"2021S05078250204.13","8250204.13",1239203
"2021S05078250205.02","8250205.02",1241834
"2021S05078250205.04","8250205.04",1244465
"2021S05078250205.05","8250205.05",1247096
"2021S05078250205.06","8250205.06",1249727
"2021S05078250205.07","8250205.07",1252358
"2021S05078250205.08","8250205.08",1254989
"2021S05078250205.09","8250205.09",1257620
"2021S05078250206.02","8250206.02",1260251
"2021S05078250206.05","8250206.05",1262882
"2021S05078250206.06","8250206.06",1265513
"2021S05078250206.07","8250206.07",1268144
"2021S05078250206.08","8250206.08",1270775
"2021S05078250206.09","8250206.09",1273406
"2021S05078250206.10","8250206.10",1276037
"2021S05078250206.11","8250206.11",1278668
"2021S05078250207.01","8250207.01",1281299
"2021S05078250207.03","8250207.03",1283930
"2021S05078250207.04","8250207.04",1286561
"2021S0503930","Chilliwack",1289192
"2021S05079300001.00","9300001.00",1291823
"2021S05079300002.02","9300002.02",1294454
"2021S05079300003.00","9300003.00",1297085
"2021S05079300004.00","9300004.00",1299716
"2021S05079300005.00","9300005.00",1302347
"2021S05079300006.00","9300006.00",1304978
"2021S05079300007.00","9300007.00",1307609
"2021S05079300008.00","9300008.00",1310240
"2021S05079300009.00","9300009.00",1312871
"2021S05079300010.00","9300010.00",1315502
"2021S05079300011.01","9300011.01",1318133
"2021S05079300011.02","9300011.02",1320764
"2021S05079300012.01","9300012.01",1323395
"2021S05079300012.02","9300012.02",1326026
"2021S05079300012.03","9300012.03",1328657
"2021S05079300012.04","9300012.04",1331288
"2021S05079300012.05","9300012.05",1333919
"2021S05079300012.06","9300012.06",1336550
"2021S05079300012.07","9300012.07",1339181
"2021S05079300013.00","9300013.00",1341812
"2021S05079300014.00","9300014.00",1344443
"2021S05079300015.00","9300015.00",1347074
"2021S05079300016.02","9300016.02",1349705
"2021S05079300016.03","9300016.03",1352336
"2021S05079300016.04","9300016.04",1354967
"2021S05079300017.01","9300017.01",1357598
"2021S05079300017.02","9300017.02",1360229
"2021S05079300018.01","9300018.01",1362860
"2021S05079300018.02","9300018.02",1365491
"2021S05079300019.00","9300019.00",1368122
"2021S05079300020.01","9300020.01",1370753
"2021S05079300020.02","9300020.02",1373384
"2021S05079300020.03","9300020.03",1376015
"2021S05079300021.00","9300021.00",1378646
"2021S05079300022.00","9300022.00",1381277
"2021S05079300023.01","9300023.01",1383908
"2021S05079300023.02","9300023.02",1386539
"2021S05079300024.00","9300024.00",1389170
"2021S05079300025.00","9300025.00",1391801
"2021S05079300026.00","9300026.00",1394432
"2021S05079300027.00","9300027.00",1397063
"2021S05079300028.00","9300028.00",1399694
"2021S05079300029.00","9300029.00",1402325
"2021S05079300030.00","9300030.00",1404956
"2021S05079300031.00","9300031.00",1407587
"2021S05079300032.00","9300032.00",1410218
"2021S05079300033.00","9300033.00",1412849
"2021S05079300034.00","9300034.00",1415480
"2021S0503447","Drummondville",1418111
"2021S05074470001.01","4470001.01",1420742
"2021S05074470001.02","4470001.02",1423373
"2021S05074470002.00","4470002.00",1426004
"2021S05074470003.00","4470003.00",1428635
"2021S05074470004.00","4470004.00",1431266
"2021S05074470005.00","4470005.00",1433897
"2021S05074470006.00","4470006.00",1436528
"2021S05074470007.00","4470007.00",1439159
"2021S05074470008.00","4470008.00",1441790
"2021S05074470009.01","4470009.01",1444421
"2021S05074470009.02","4470009.02",1447052
"2021S05074470010.00","4470010.00",1449683
"2021S05074470011.00","4470011.00",1452314
"2021S05074470012.00","4470012.00",1454945
"2021S05074470013.00","4470013.00",1457576
"2021S05074470014.00","4470014.00",1460207
"2021S05074470015.00","4470015.00",1462838
"2021S05074470100.00","4470100.00",1465469
"2021S05074470101.00","4470101.00",1468100
"2021S05074470102.00","4470102.00",1470731
"2021S05074470103.00","4470103.00",1473362
"2021S05074470104.00","4470104.00",1475993
"2021S05074470105.00","4470105.00",1478624
"2021S05074470106.00","4470106.00",1481255
"2021S05074470107.00","4470107.00",1483886
"2021S05074470108.00","4470108.00",1486517
"2021S0503835","Edmonton",1489148
"2021S05078350001.01","8350001.01",1491779
"2021S05078350001.02","8350001.02",1494410
"2021S05078350001.03","8350001.03",1497041
"2021S05078350001.04","8350001.04",1499672
"2021S05078350001.05","8350001.05",1502303
"2021S05078350001.06","8350001.06",1504934
"2021S05078350001.07","8350001.07",1507565
"2021S05078350002.01","8350002.01",1510196
"2021S05078350002.02","8350002.02",1512827
"2021S05078350002.03","8350002.03",1515458
"2021S05078350002.04","8350002.04",1518089
"2021S05078350002.05","8350002.05",1520720
"2021S05078350003.00","8350003.00",1523351
"2021S05078350004.01","8350004.01",1525982
"2021S05078350004.02","8350004.02",1528613
"2021S05078350005.01","8350005.01",1531244
"2021S05078350005.02","8350005.02",1533875
"2021S05078350005.07","8350005.07",1536506
"2021S05078350005.08","8350005.08",1539137
"2021S05078350005.09","8350005.09",1541768
"2021S05078350005.10","8350005.10",1544399
"2021S05078350005.11","8350005.11",1547030
"2021S05078350005.12","8350005.12",1549661
"2021S05078350005.13","8350005.13",1552292
"2021S05078350006.01","8350006.01",1554923
"2021S05078350006.03","8350006.03",1557554
"2021S05078350006.04","8350006.04",1560185
"2021S05078350006.05","8350006.05",1562816
"2021S05078350006.06","8350006.06",1565447
"2021S05078350006.08","8350006.08",1568078
"2021S05078350006.09","8350006.09",1570709
"2021S05078350006.13","8350006.13",1573340
"2021S05078350006.14","8350006.14",1575971
"2021S05078350006.15","8350006.15",1578602
"2021S05078350006.16","8350006.16",1581233
"2021S05078350006.17","8350006.17",1583864
"2021S05078350006.18","8350006.18",1586495
"2021S05078350006.19","8350006.19",1589126
"2021S05078350006.20","8350006.20",1591757
"2021S05078350007.01","8350007.01",1594388
"2021S05078350007.02","8350007.02",1597019
"2021S05078350008.01","8350008.01",1599650
